"Recorded Crime Offences (Number) by Type of Offence, Garda Station and"
"Year"

" "," ","2008","2009","2010","2011","2012","2013"
"03 ,Attempts/threats to murder, assaults, harassments and related offences"
" ","Abbeyfeale, Limerick Division",45,46,21,27,45,22
" ","Abbeyleix, Laois/Offaly Division",34,23,20,15,17,12
" ","Adare, Limerick Division",3,3,3,6,6,3
" ","Aglish, Waterford Division",2,0,4,2,1,2
" ","Ahascragh, Galway Division",4,0,2,0,3,3
" ","Ailt an Chorraiin, Donegal Division",7,10,3,4,3,3
" ","An Bun Beag, Donegal Division",47,52,35,18,22,9
" ","An Charraig, Donegal Division",9,5,3,1,2,6
" ","An Cheathru Rua, Galway Division",12,10,7,15,18,11
" ","An Clochain Liath, Donegal Division",25,11,11,22,12,18
" ","An Coirean, Kerry Division",9,5,6,1,8,2
" ","An Craoslach, Donegal Division",3,3,3,1,8,3
" ","An Fail Carrach, Donegal Division",27,23,16,12,10,12
" ","An Maim, Galway Division",3,2,2,1,7,0
" ","An Rinn, Waterford Division",3,1,0,5,0,2
" ","An Spideal, Galway Division",7,11,6,2,3,8
" ","Anglesea Street, Cork City Division",211,252,226,252,259,234
" ","Annascaul, Kerry Division",1,1,1,0,2,1
" ","Aran More, Galway Division",38,31,38,27,34,47
" ","Ard an Raitha, Donegal Division",12,8,5,0,4,3
" ","Ardee, Louth Division",25,43,41,43,31,27
" ","Ardfert, Kerry Division",5,2,5,8,7,7
" ","Ardfinnan, Tipperary Division",10,3,2,11,4,3
" ","Ardmore, Waterford Division",3,7,2,1,1,1
" ","Ardnacrusha, Limerick Division",31,34,30,28,21,15
" ","Ardrahan, Galway Division",5,1,0,0,0,4
" ","Arklow, Wicklow Division",91,101,87,48,96,80
" ","Arles, Laois/Offaly Division",7,6,8,10,7,4
" ","Arva, Cavan/Monaghan Division",9,7,3,3,3,1
" ","Ashbourne, Meath Division",80,54,70,38,61,65
" ","Ashford, Wicklow Division",13,13,11,15,11,10
" ","Askeaton, Limerick Division",13,21,10,17,15,3
" ","Athea, Limerick Division",6,7,7,7,1,1
" ","Athenry, Galway Division",17,16,16,32,25,12
" ","Athleague, Roscommon/Longford Division",3,4,3,3,3,1
" ","Athlone, Westmeath Division",111,111,140,126,113,105
" ","Athy, Kildare Division",58,71,65,95,90,57
" ","Aughrim, Wicklow Division",4,8,2,8,8,14
" ","Avoca, Wicklow Division",4,8,4,3,6,4
" ","Baile AÅtha Bui, Meath Division",38,22,30,30,9,13
